"student_type","school","jewish_students_n","jewish_students_perc","total_students_n","jewish_students_perc_real"
"Total","Union College",250,0.121,2065,0.121065375302663
"Undergraduate","Bryn Mawr College",250,0.181,1384,0.180635838150289
"Graduate","Bryn Mawr College",5,0.015,335,0.0149253731343284
"Total","Bryn Mawr College",255,0.148,1719,0.148342059336824
"Undergraduate","Franklin & Marshall College",200,0.086,2314,0.0864304235090752
"Graduate","Franklin & Marshall College",0,0,0,NA
"Total","Franklin & Marshall College",200,0.086,2314,0.0864304235090752
"Undergraduate","Scripps College",100,0.092,1089,0.0918273645546373
"Graduate","Scripps College",0,0,20,0
"Total","Scripps College",100,0.09,1109,0.0901713255184851
